year,month,city,avg_temp_c,rain_probability_pct,crowd_index
2025,1,大阪,6.8,7,6
2025,2,大阪,5.3,5,3
2025,3,大阪,10.9,26,5
2025,4,大阪,15.9,21,9
2025,5,大阪,20.1,61,8
2025,6,大阪,25.4,95,3
2025,7,大阪,30.2,34,6
2025,8,大阪,30.8,18,7
2025,9,大阪,28.1,53,5
2025,10,大阪,21.1,34,6
2025,11,大阪,13.9,9,9
2025,12,大阪,9.6,20,6
2025,1,札幌,-1.2,23,6
2025,2,札幌,-0.9,39,5
2025,3,札幌,2.0,32,5
2025,4,札幌,8.5,37,9
2025,5,札幌,14.9,15,8
2025,6,札幌,20.6,9,3
2025,7,札幌,25.8,21,7
2025,8,札幌,24.7,40,8
2025,9,札幌,20.7,54,5
2025,10,札幌,11.9,18,6
2025,11,札幌,5.4,55,8
2025,12,札幌,-0.1,37,7
2025,1,東京,6.6,9,6
2025,2,東京,6.5,2,3
2025,3,東京,10.7,51,5
2025,4,東京,15.6,52,9
2025,5,東京,19.2,69,8
2025,6,東京,24.7,33,3
2025,7,東京,28.4,25,6
2025,8,東京,29.6,23,7
2025,9,東京,26.5,68,5
2025,10,東京,18.5,36,6
2025,11,東京,12.8,6,8
2025,12,東京,8.4,12,6
2025,1,沖繩,16.8,32,6
2025,2,沖繩,16.0,25,3
2025,3,沖繩,19.4,29,5
2025,4,沖繩,20.5,57,8
2025,5,沖繩,24.4,100,8
2025,6,沖繩,28.6,59,3
2025,7,沖繩,29.0,100,7
2025,8,沖繩,29.5,74,8
2025,9,沖繩,29.7,31,5
2025,10,沖繩,28.0,70,6
2025,11,沖繩,23.4,55,7
2025,12,沖繩,20.1,27,6
2025,1,福岡,6.8,12,6
2025,2,福岡,5.7,12,3
2025,3,福岡,11.9,41,5
2025,4,福岡,16.2,12,8
2025,5,福岡,19.6,73,8
2025,6,福岡,25.0,100,3
2025,7,福岡,30.0,30,6
2025,8,福岡,29.9,99,6
2025,9,福岡,28.0,39,5
2025,10,福岡,22.4,43,6
2025,11,福岡,14.8,9,7
2025,12,福岡,10.4,20,6
