date,jpy_twd_rate
2025-01-02,0.2118
2025-01-08,0.2101
2025-01-15,0.2128
2025-01-22,0.212
2025-02-05,0.2163
2025-02-08,0.2186
2025-02-12,0.2156
2025-02-19,0.218
2025-02-26,0.2214
2025-03-05,0.2216
2025-03-12,0.2238
2025-03-19,0.2233
2025-03-26,0.2221
2025-04-02,0.2232
2025-04-08,0.226
2025-04-15,0.229
2025-04-22,0.2336
2025-05-02,0.2142
2025-05-05,0.2109
2025-05-08,0.2119
2025-05-12,0.207
2025-05-15,0.2089
2025-05-19,0.2104
2025-05-22,0.2119
2025-05-26,0.2114
2025-06-02,0.2117
2025-06-05,0.2108
2025-06-12,0.2081
2025-06-19,0.2058
2025-06-26,0.2044
2025-07-02,0.2036
2025-07-08,0.201
2025-07-15,0.2002
2025-07-22,0.2015
2025-08-05,0.2051
2025-08-08,0.2046
2025-08-12,0.2045
2025-08-15,0.2061
2025-08-19,0.2058
2025-08-22,0.2078
2025-08-26,0.2089
2025-09-02,0.2085
2025-09-05,0.2083
2025-09-08,0.2088
2025-09-12,0.207
2025-09-15,0.2069
2025-09-19,0.2063
2025-09-22,0.2063
2025-09-26,0.2057
2025-10-02,0.2088
2025-10-08,0.2022
2025-10-15,0.2046
2025-10-22,0.2044
2025-11-05,0.2035
2025-11-12,0.2028
2025-11-19,0.203
2025-11-26,0.2024
2025-12-02,0.2037
2025-12-05,0.2041
2025-12-08,0.2028
2025-12-12,0.2022
2025-12-15,0.2042
2025-12-19,0.2031
2025-12-22,0.2023
2025-12-26,0.2031
